Period,1-Nov, 2019 -> November 30,2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time,South of Vernon,Trail North of Sugar Creek,Robinson at Monroe,Trail West of Hershey,West of Grandview,Shirley,East of Shelbourne,Washington West of Vale Eastbound,Washington West of Vale Westbound,South Side Counter,South of Raab,YAI18086290,West Side Counter,Washington East of Rust Westbound,Washington East of Rust Eastbound,Grove-West of Vale (EB),Grove-West of Vale (WB),East Side Counter,Heartland CC
8/9/2020 0:00,1698,1588,,877,,114,54,,,,1413,,,,,,,,
8/10/2020 0:00,809,806,,398,,41,60,,,,742,,,,,,,,
8/11/2020 0:00,1576,1522,,849,,76,285,,,,1377,,,,,,,,
8/12/2020 0:00,1384,1421,,879,0,66,594,,,,1246,,,,,,,,
8/13/2020 0:00,1388,1457,,774,,57,216,,,,1303,,,,,,,,
8/14/2020 0:00,1345,1412,,756,,56,323,,,,1221,,,,,,,,
8/15/2020 0:00,1718,1665,,849,,158,77,,,,1424,,,,,,,,
8/16/2020 0:00,2261,2071,,1179,,317,86,,,,1850,,,,,,,,
8/17/2020 0:00,1388,1509,,742,,621,43,,,,1239,,,,,,,,
8/18/2020 0:00,1568,1557,,751,,427,293,,,,1518,,,,,,,,
8/19/2020 0:00,1686,1738,,770,,43,267,,,,1371,,,,,,,,
8/20/2020 0:00,1508,1443,,770,,50,77,,,,1543,,,,,,,,
8/21/2020 0:00,1677,1334,,783,,87,85,,,,1216,,,,,,,,
8/22/2020 0:00,1747,1851,,939,,143,74,,,,1612,,,,,,,,
8/23/2020 0:00,1547,1543,,800,,72,39,,,,1371,,,,,,,,
8/24/2020 0:00,1216,1223,,608,,47,28,,,,1179,,,,,,,,
8/25/2020 0:00,1244,1231,,657,,45,46,,,,1146,,,,,,,,
8/26/2020 0:00,1235,1235,,582,,54,22,,,,1132,,,,,,,,
8/27/2020 0:00,1186,1196,,541,,44,22,,,,1081,,,,,,,,
8/28/2020 0:00,1163,1126,,536,,80,36,,,,1077,,,,,,,,
8/29/2020 0:00,1828,1880,,902,,80,81,,,,1678,,,,,,,,
8/30/2020 0:00,1910,1937,,1108,,83,67,,,,1638,,,,,,,,
8/31/2020 0:00,1320,1338,,594,,66,33,,,,1265,,,,,,,,
9/1/2020 0:00,727,817,,267,,13,26,,,,700,,,,,,,,
9/2/2020 0:00,1450,1467,,576,,83,60,,,,1337,,,,,,,,
9/3/2020 0:00,1235,1202,,478,,34,21,,,,1204,,,,,,,,
9/4/2020 0:00,1434,1271,,583,,84,175,,,,1178,,,,,,,,
9/5/2020 0:00,1603,1591,,713,,89,91,,,,1375,,,,,,,,
9/6/2020 0:00,708,782,,227,,22,10,,,,624,,,,,,,,
9/7/2020 0:00,1742,1752,,845,,103,72,,,,1695,,,,,,,,
9/8/2020 0:00,724,706,,172,,17,20,,,,704,,,,,,,,
9/9/2020 0:00,1145,1132,,394,,54,34,,,,1063,,,,,,,,
9/10/2020 0:00,993,1033,,277,,7,18,,,,811,,,,,,,,
9/11/2020 0:00,1060,1115,,376,,41,42,,,,931,,,,,,,,
9/12/2020 0:00,676,615,,178,,34,23,,,,485,,,,,,,,
